"ID","CORE_TEXT","EXT_TEXT","he wrote","Van Gogh wrote","complementary colours","The Potato Eaters","this torso of Venus","drew","standing torso of Venus","which he painted a number of times","He would use this technique more than once in his later work","Head of a Woman","Head of a Man","Head of a Woman 1","Head of a Woman 2","Head of a Woman 3","Torso of Venus","Horse","Torso of Venus 1","Male Torso","Kneeling Ecorche","Torso of Venus 2","Portrait of a Prostitute","Head of an Old Man","Head of a Woman 4","Plaster Cast of a Womans Torso","Plaster Cast of a Womans Torso 1","Torso of Venus 3","Woman Sewing","Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman","Head of a Prostitute","1885","Nuenen","painting","1887","Paris","cityscape","portrait","still life","1890","animal art","drawing","1884","heads","Antwerp","1886","nude","1881","Brussels"
"s0106V1962","Wheatfield under Thunderclouds Vincent van Gogh (1853 - 1890), Auvers-sur-Oise, July 1890 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 50.4 cm x 101.3 cm, 70.0 cm x 121.0 cm","localhost F0778 JH2097 s0106V1962","In the last weeks of his life, Van Gogh completed a number of impressive paintings of the wheatfields around Auvers. This outspread field under a dark sky is one of them. In these landscapes he tried to express sadness, extreme loneliness. But the overwhelming emotions that Van Gogh experienced in nature were also positive. He wrote to his brother Theo, Id almost believe that these canvases will tell you what I cant say in words, what I consider healthy and fortifying about the countryside. The elongated format of Wheatfields under Thunderclouds is unusual. It emphasizes the grandeur of the landscape, as does the simple composition: two horizontal planes.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0149V1962","Wheatfield with Crows Vincent van Gogh (1853 - 1890), Auvers-sur-Oise, July 1890 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 50.5 cm x 103 cm, 69.8 cm x 122.7 cm","localhost F0779 JH2117 s0149V1962","Wheatfield with Crows is one of Van Goghs most famous paintings. It is often claimed that this was his very last work. The menacing sky, the crows and the dead-end path are said to refer to the end of his life approaching. But that is just a persistent myth. In fact, he made several other works after this one. Van Gogh did want his wheatfields under stormy skies to express sadness, extreme loneliness, but at the same time he wanted to show what he considered healthy and fortifying about the countryside. Van Gogh used powerful colour combinations in this painting: the blue sky contrasts with the yellow-orange wheat, while the red of the path is intensified by the green bands of grass.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0176V1962","Almond Blossom Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, February 1890 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 73.3 cm x 92.4 cm, 94.0 cm x 112.9 cm","localhost F0671 JH1891 s0176V1962","Large blossom branches like this against a blue sky were one of Van Goghs favourite subjects. Almond trees flower early in the spring making them a symbol of new life. Van Gogh borrowed the subject, the bold outlines and the positioning of the tree in the picture plane from Japanese printmaking. The painting was a gift for his brother Theo and sister-in-law Jo, who had just had a baby son, Vincent Willem. In the letter announcing the new arrival, Theo wrote: As we told you, well name him after you, and Im making the wish that he may be as determined and as courageous as you. Unsurprisingly, it was this work that remained closest to the hearts of the Van Gogh family. Vincent Willem went on to found the Van Gogh Museum.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0195V1962","Tree Roots Vincent van Gogh (1853 - 1890), Auvers-sur-Oise, July 1890 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 50.3 cm x 100.1 cm, 69.8 cm x 119.7 cm","localhost F0816 JH2113 s0195V1962","This painting seems at first sight to consist of a jumble of bright colours and fanciful abstract forms. Only after that do you realise that it shows a slope with tree trunks and roots. These are trees used for timber, growing in a marl quarry. Such quarries could be found around Auvers (FR). The work was not entirely completed. That explains its unfinished appearance. It is probably Van Goghs very last painting. Andries Bonger, the brother-in-law of Vincents brother Theo, described it in a letter: The morning before his death, he had painted a sous-bois [forest scene], full of sun and life.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"d0171V1962","Peasant Woman Digging Vincent van Gogh (1853 - 1890), Nuenen, July-September 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 55.7 cm x 41.0 cm","localhost F1255 JH0826 d0171V1962","Van Gogh struggled for a long time to represent figures convincingly: they tended to look too flat. He realised in 1885 that he needed to build them up from large round forms rather than contours. This burly peasant woman is a successful example. The proportions may not be accurate, but this was deliberate: Van Gogh wanted to make the drawing more expressive. In a letter to his brother Theo, Vincent described his drawings of farm workers as the start of a whole series about all kinds of work in the fields. He hoped that scenes of this kind would establish his reputation as an artist of peasant life.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost",,
"d0222V1962","Garden of the Hospital Vincent van Gogh (1853 - 1890), Arles, May 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 46.6 cm x 59.9 cm","localhost F1467 JH1688 d0222V1962","For months, Van Gogh looked out over this courtyard of the hospital in Arles. That was in the spring of 1889. He drew the lush garden while staying there for treatment of his mental condition. Van Gogh drew with a reed pen, filling almost the entire page. It takes a while before you notice that a few figures are visible. There are people in the upper left, on the upstairs gallery. And on the far side of the garden, there are two nuns. As if it were a puzzle, he placed his signature on a watering can on the lower right, in front of the tall tree.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost",,
"d0337V1962","Window in the Studio Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, September-October 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 62.0 cm x 47.6 cm","localhost F1528 JH1807 d0337V1962","Van Gogh was allowed to use this room with a barred window as a studio in the hospital in Saint-Remy. The window looks out over the walled garden. Pots and bottles stand on the windowsill. Several of Van Goghs own paintings hang on either side of the window. Van Gogh began by setting out his design in black chalk. Then he developed the drawing further using thinned oil paint and a little watercolour. Between the bars and the blue of the sky he left the paper visible, which adds depth to the scene.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost",,
"d0340V1962","Tree with Ivy in the Garden of the Asylum Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, May-June 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 61.8 cm x 47.1 cm","localhost F1532 JH1696 d0340V1962","In May 1889, Van Gogh had himself admitted to the psychiatric hospital in Saint-Remy because of his fragile mental health. At first he was not allowed to leave the walled grounds of the institution. Fortunately, the overgrown garden offered him plenty of inspiration. This drawing is a realistic representation of that garden.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost",,
"d0344V1962","The Rock of Montmajour with Pine Trees Vincent van Gogh (1853 - 1890), Arles, July 1888 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 49.1 cm x 61.0 cm","localhost F1447 JH1503 d0344V1962","Van Gogh drew this jagged rock with pine trees using a reed pen a drawing tool that lent itself to supple and vigorous lines. He developed his own drawing style with it, consisting of stipples and stripes in all sizes, thicknesses and directions. Van Gogh made this drawing on the hill of Montmajour, near Arles. His fascination with the landscape around the hill inspired a series of pen drawings, which form a high point in his oeuvre. He accepted the fierce mistral wind and the many mosquitoes as the price he had to pay. If a view makes one forget those little vexations, there must be something in it, he wrote to his brother Theo.","http://vangoghletters.org/vg/letters/let639/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost",,
"d0364V1968","Pollard Birches Vincent van Gogh (1853 - 1890), Nuenen, March 1884 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 39.5 cm x 54.2 cm","localhost F1240 JH0469 d0364V1968","Van Gogh loved pollard trees with their gnarled trunks. They feature prominently in many of his paintings and drawings, including this one. In a letter to his brother Theo, he compared a row of pollard trees to a procession of orphan men. What he meant was that nature had a soul of its own. This work is part of a series of seven pen and ink drawings of Brabant landscapes from 1884. The compositions are compelling. The way he drew it, with a great deal of hatching, shows his individual style. The drawings form a high point of Van Goghs work in the Netherlands.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","localhost","localhost","localhost","localhost",,
"d0378V1962","Worn Out Vincent van Gogh (1853 - 1890), The Hague, November 1882 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 50.4 cm x 31.6 cm","localhost F0997 JH0267 d0378V1962","What a fine sight an old working man makes, in his patched bombazine suit with his bald head, Van Gogh wrote about this drawing. The artist had a penchant for working-class figures, marked by life, and the title Worn Out emphasizes the dramatic element of his chosen theme. This tired, bent old man lived at the Dutch Reformed Almshouse for Men and Women in The Hague. Residents of the home posed for Van Gogh in old, worn-out clothing in return for a small payment. Van Gogh made dozens of large figure drawings in The Hague, in which he practised representing human proportions, poses and facial expressions.","localhost","http://vangoghletters.org/vg/letters/let286/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost",,
"d0386M1977","Landscape with a Stack of Peat and Farmhouses Vincent van Gogh (1853 - 1890), Drenthe, September-December 1883 Credits: Van Gogh Museum, Amsterdam 41.7 cm x 54.1 cm","localhost F1099 JH0399 d0386M1977","The dark structure in the middle of the drawing looks like a cottage, but it is actually a stack of peat. In Drenthe, peat was stacked in the form of a house with a sloping roof. Van Gogh gave the stack of peat a central place in his composition and showed its reflection in the ditch. He wrote to his brother Theo that at dusk the fields of Drenthe were transformed into a sublime place, when that vast, sun-scorched earth stands out dark against the delicate lilac tints of the evening sky, and the very last fine dark blue line on the horizon separates earth from sky.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost",,
